original_selling_amount,day_of_year,how_far_in_advance,length_of_stay,no_of_adults,hotel_brand_code,customer_nationality,charge_option,hotel_chain_code,original_payment_method
214.45,211,8,1,2,572,37,2,273,29
617.97,231,24,5,2,125,32,2,24,19
102.88,167,73,2,2,158,43,2,178,19
118.36,179,6,1,2,679,25,2,138,29
191.72,134,136,2,2,353,37,2,563,29
176.49,234,15,2,2,630,37,2,47,19
88.48,220,3,1,2,83,99,2,614,29
27.26,162,55,1,2,778,56,2,304,29
158.38,207,40,1,2,610,3,2,231,5
102.78,103,120,1,2,262,37,1,543,29
127.96,179,4,2,2,575,81,2,592,29
83.91,179,5,1,1,50,86,2,614,5
47.06,172,23,2,2,304,39,1,512,29
95.07,193,25,1,2,335,44,2,176,29
687.57,136,58,10,1,128,81,1,249,29
967.28,253,7,4,2,10,91,2,531,29
547.25,218,36,3,2,697,86,1,27,19
70.79,208,1,1,2,381,86,2,167,19
62.24,229,15,1,2,320,92,2,548,19
628.96,200,8,2,2,875,37,2,79,5
244.06,213,59,2,1,872,86,1,535,19
45.22,229,1,1,1,430,44,2,575,16
12.95,318,317,1,2,502,56,1,518,19
9.64,270,1,1,2,502,40,2,518,15
159.48,243,6,3,2,18,56,2,221,29
192.38,220,12,1,2,818,44,2,597,19
58.15,257,11,1,2,872,99,2,535,29
958.2,191,18,2,4,671,86,1,341,5
66.39,202,10,1,2,630,44,2,47,29
166.64,135,61,1,2,859,91,1,548,29
19.86,257,1,1,4,709,56,2,87,19
73.02,183,4,2,2,709,39,2,87,26
191.13,181,2,1,2,374,37,2,268,29
284.54,179,4,3,2,527,74,2,136,19
84.5,233,10,1,1,836,67,2,487,29
5968.53,213,11,2,6,399,102,2,359,19
1505.22,175,22,12,2,308,99,2,565,29
346.1,198,21,2,4,268,86,2,436,19
140.12,95,110,2,3,184,91,1,417,29
164.76,230,14,13,2,502,40,2,518,19
261.01,250,2,2,2,738,99,2,54,29
75.59,170,74,1,1,741,37,2,168,19
276.11,118,83,5,1,52,80,1,531,19
364.92,261,5,1,2,322,92,2,492,29
105.55,226,1,1,2,470,86,2,104,26
467.27,201,19,3,2,859,92,2,548,19
241.48,199,2,2,1,447,99,2,96,5
312.58,126,110,4,2,52,91,1,531,19
166.76,266,2,2,2,726,40,2,92,29
408.1,214,56,2,2,642,91,2,377,19
432.52,175,61,4,2,426,37,1,391,29
158.39,135,91,1,2,572,44,2,273,16
62.99,264,1,1,2,152,42,2,614,19
173.48,159,33,3,1,230,86,2,168,29
138.6,264,1,2,2,307,99,2,11,29
129.37,231,23,1,3,148,3,2,72,29
95.42,213,17,2,4,419,40,1,83,29
126.86,223,9,2,1,281,44,1,276,29
39.42,264,1,1,2,339,56,2,212,5
125.37,204,29,1,2,854,86,2,357,19
583.98,221,6,5,2,230,99,2,168,26
37.93,237,1,1,1,251,86,2,525,19
79.34,198,30,2,2,195,39,2,593,19
120.02,247,2,2,2,753,16,2,273,29
36.34,244,2,1,2,125,28,2,24,29
149.23,224,2,1,2,169,18,2,51,19
165.36,72,150,1,2,478,3,2,287,22
288.88,206,31,4,2,493,6,2,136,29
35.32,248,2,2,2,604,40,2,187,29
36.6,203,1,1,2,602,3,2,75,29
877.2,235,1,2,2,465,18,2,51,19
137.14,174,57,1,2,447,16,1,96,5
135.06,222,7,1,2,50,86,1,614,19
39.34,240,2,2,2,584,92,2,356,29
80.34,177,6,2,2,534,92,2,132,12
97.7,239,3,1,1,427,102,2,548,29
60.65,206,5,1,2,464,81,2,548,29
86.36,250,3,1,2,761,91,2,393,29
283.74,196,6,3,3,49,40,2,115,29
48.49,217,1,1,2,753,91,2,273,29
248.84,190,19,1,2,572,86,2,273,19
136.26,182,36,3,2,863,86,1,327,29
86.08,234,8,1,4,427,92,2,548,29
1212.6,126,109,2,5,188,91,1,319,16
382.5,187,42,3,2,464,98,1,548,29
328.59,102,88,3,2,459,85,1,448,29
54.77,270,3,1,1,872,44,2,535,29
283.43,242,3,3,2,243,92,2,273,29
160.85,216,0,1,2,247,99,2,51,29
153.03,199,2,2,2,193,44,2,544,29
1583.1,68,117,3,10,427,40,2,548,29
50.94,233,4,1,2,527,56,2,136,19
302.5,110,109,2,3,431,86,2,334,27
2317.12,249,4,4,4,817,37,2,79,19
495.77,134,123,5,2,626,98,1,197,29
480.26,202,22,2,2,590,18,2,330,29
289.71,123,86,3,2,321,86,2,58,19
112.15,224,12,1,2,140,86,2,580,19
426.08,84,115,3,3,251,44,2,525,29
79.41,225,1,1,2,46,99,2,454,29
58.75,217,1,1,2,204,3,2,17,29
71.88,220,25,1,2,547,92,2,427,29
250.39,190,1,1,4,78,40,2,110,29
81.17,268,1,1,2,860,37,2,77,29
484.11,252,6,3,1,322,88,2,492,29
53.43,217,44,1,2,310,44,1,106,29
330.31,222,22,3,2,872,86,1,535,19
166.55,169,56,2,2,244,92,2,294,29
15.11,230,2,1,2,502,74,2,518,19
443.74,118,141,3,3,460,86,2,582,29
1090.78,107,100,1,5,405,91,1,408,29
257.06,197,8,1,8,534,56,2,132,29
44.42,234,11,1,2,470,86,2,104,19
443.72,48,180,2,4,4,91,1,509,16
320.96,60,160,2,2,262,44,1,543,29
181.17,249,11,1,2,487,44,1,586,5
454.97,239,10,2,4,149,82,2,408,29
87.5,228,2,1,2,772,56,2,548,29
109.15,171,17,1,2,487,91,2,586,19
154.9,237,4,1,2,858,82,2,136,19
197.44,185,12,1,3,50,86,1,614,19
582.67,112,117,5,2,578,99,2,10,29
591.75,165,55,9,3,312,3,2,267,29
236.81,251,14,1,3,874,81,1,548,29
92.9,244,3,2,2,398,40,2,549,29
629.47,111,79,1,4,348,91,2,198,29
444.87,182,25,4,2,784,54,2,544,29
1911.63,239,30,3,2,457,3,2,498,5
185.24,232,2,1,2,544,86,2,132,19
50.96,267,4,1,2,458,40,2,51,29
602.97,165,29,3,4,508,91,2,69,19
187.05,177,80,2,2,741,82,1,168,29
183.58,134,94,2,4,50,86,2,614,5
574.13,212,39,3,2,300,98,2,51,5
134.59,96,135,1,2,872,44,2,535,29
75.89,272,1,1,2,621,59,2,539,5
165.6,143,56,1,2,283,44,1,543,29
434.77,204,34,1,2,578,99,2,10,19
8.92,237,3,1,1,709,74,2,87,19
402.84,238,30,2,1,138,74,1,51,19
110.5,171,53,2,2,810,98,2,291,29
277.81,153,43,3,1,872,91,1,535,16
390.26,61,178,2,2,487,91,1,586,29
205.04,114,98,1,4,691,91,1,547,19
24.95,248,1,1,2,164,40,2,274,29
330.21,219,13,3,2,680,44,2,105,19
54.96,199,21,1,1,151,91,1,296,19
402.92,196,20,3,2,427,41,2,548,19
158.62,259,2,2,1,879,86,2,579,29
25.94,249,2,2,1,110,86,2,598,19
250.7,248,2,1,1,875,18,2,79,4
19.9,205,14,2,2,166,95,2,502,29
721.68,204,34,1,5,308,44,1,565,29
1999.51,20,175,10,2,121,3,1,618,29
892.39,162,33,4,2,645,39,2,540,29
206.7,227,8,2,2,761,86,1,393,19
450.35,225,3,2,2,858,44,2,136,16
323.19,253,13,1,2,78,44,2,110,29
263.28,162,57,3,2,608,66,2,434,19
1983.06,96,87,4,6,138,91,2,51,29
348.1,105,88,5,2,595,86,1,580,19
283.19,131,59,2,2,410,37,2,386,19
507.69,230,16,3,2,829,37,2,506,29
279.74,260,6,1,2,572,28,2,273,29
65.3,218,2,1,2,226,40,2,613,29
41.61,240,11,1,1,546,86,1,345,19
930.96,25,161,2,2,287,94,1,112,5
275.06,270,1,1,2,772,62,2,548,29
338.98,174,82,5,2,321,91,2,58,29
2998.64,36,187,4,3,402,44,1,268,16
177.04,222,4,1,2,839,44,2,364,29
355.64,100,168,2,2,697,82,2,27,29
428.78,83,106,2,4,480,91,1,334,29
84.95,156,43,1,2,427,25,2,548,19
316.56,186,14,4,1,52,86,2,531,29
400.32,140,46,3,2,93,86,2,234,29
641.06,94,102,2,3,322,82,1,492,29
674.22,146,78,2,1,717,42,2,503,19
22.97,216,1,1,2,604,95,2,187,19
24.64,206,3,1,2,709,56,2,87,26
566.92,188,47,2,2,182,82,2,353,29
130.6,227,11,1,2,762,98,2,97,29
66.69,241,1,1,2,888,90,2,312,29
29.28,197,1,1,2,448,92,2,1,29
135.53,260,7,4,1,412,56,2,336,29
51.34,190,23,1,2,168,18,2,90,26
659.64,261,3,3,2,865,99,2,20,29
284.18,177,63,3,1,859,86,2,548,26
344.19,75,165,6,2,821,99,2,127,29
599.47,192,11,4,3,268,56,2,436,19
13.66,228,2,1,2,502,40,2,518,29
516.51,191,7,5,2,741,56,2,168,29
95.06,195,0,1,4,306,94,2,329,19
159.06,226,2,1,2,397,56,2,51,29
339.84,132,133,3,2,480,91,2,334,29
107.82,185,35,1,2,485,3,1,441,29
931.38,100,166,2,12,736,25,2,412,19
184.97,260,7,2,2,873,91,1,316,19
832.46,253,20,2,2,31,95,2,194,19
33.52,234,2,1,2,724,74,2,310,26
111.71,261,0,1,2,886,44,2,24,16
355.08,172,13,6,2,460,16,1,582,5
13.27,241,6,1,2,502,40,2,518,29
70.18,261,6,2,2,243,56,2,273,10
256.55,214,51,4,1,426,91,1,391,19
57.42,184,2,1,2,251,40,2,525,29
228.39,148,54,2,3,211,67,2,594,19
58.74,211,12,2,2,50,81,2,614,29
112.5,229,7,1,2,776,18,2,359,19
413.12,171,30,4,3,678,74,2,24,19
637.82,145,66,3,2,188,37,1,319,29
400.42,220,5,1,2,287,82,2,112,4
139.19,226,36,2,1,879,86,1,579,19
1447.98,124,62,2,6,292,18,1,268,29
167.29,164,22,1,2,56,86,1,110,29
74.88,235,1,1,2,50,81,2,614,29
17.34,215,6,2,2,502,95,2,518,2
80.59,231,18,1,1,851,91,1,463,19
285.82,137,80,3,2,286,37,1,176,19
114.27,187,9,1,1,350,95,2,427,29
815.96,213,4,1,8,781,92,2,42,29
147.91,305,249,1,3,697,91,1,27,19
292.69,182,4,2,2,62,44,2,268,29
50.4,212,1,1,1,286,44,2,176,5
328.28,103,163,2,2,696,77,1,44,29
1326.27,138,72,9,5,278,3,2,84,19
50.42,245,5,1,1,286,44,2,176,29
160.76,236,4,3,2,437,74,2,570,19
145.37,200,4,1,2,590,74,2,330,19
44.98,213,21,1,1,469,44,2,536,29
650.48,226,40,1,4,147,86,1,13,19
118.93,272,1,1,2,308,44,2,565,29
71.48,173,89,1,2,872,37,1,535,19
380.96,183,3,2,1,437,56,2,570,29
361.67,222,16,2,2,447,82,2,96,29
504.36,113,134,4,4,230,92,2,168,29
94.64,176,75,1,2,879,37,2,579,29
82.61,219,11,1,1,487,86,1,586,5
287.31,199,4,1,3,759,37,2,359,29
355.92,240,19,2,2,215,56,2,514,19
490.24,213,6,3,4,359,95,2,19,19
163.33,255,17,2,2,871,86,1,16,29
338.33,246,7,4,2,51,86,2,200,29
125.91,166,33,1,1,572,80,2,273,19
58.12,238,23,1,2,51,37,1,200,29
193.34,210,0,1,2,805,99,2,272,29
186.25,187,31,3,1,691,86,2,547,29
110.5,219,14,1,2,310,95,1,106,29
350.5,181,11,5,3,577,18,2,508,26
543.12,243,21,4,2,753,99,1,273,29
216.46,232,0,1,2,784,99,2,544,29
204.2,244,1,1,2,489,18,2,408,4
704.47,225,34,2,2,85,91,1,96,29
92.67,239,2,1,1,272,82,2,51,19
182.81,174,13,1,3,308,86,2,565,19
453.96,148,89,5,2,243,86,1,273,19
406.44,220,4,2,4,243,92,2,273,29
75.63,268,5,1,2,284,44,2,96,5
809.8,196,63,2,4,872,42,2,535,29
122.56,250,1,1,4,470,86,2,104,29
334.15,211,44,1,2,447,44,1,96,29
74.16,261,1,1,2,821,97,2,127,26
174.02,171,53,2,1,630,44,1,47,29
22.0,259,1,1,2,452,40,2,328,29
100.41,249,3,3,2,427,66,2,548,19
65.94,252,1,1,2,720,37,2,330,29
76.84,208,15,1,2,457,3,2,498,19
235.62,126,123,2,2,107,82,1,549,19
106.19,125,84,2,2,274,86,2,434,29
105.57,177,20,1,2,250,99,2,544,29
38.48,242,30,1,1,450,44,2,217,26
84.82,205,38,2,2,693,92,2,587,19
384.86,84,129,1,2,199,86,2,551,29
245.53,189,48,3,2,794,39,1,288,29
476.67,94,100,5,2,741,91,1,168,29
119.81,210,1,1,2,874,49,2,205,29
226.03,186,3,2,2,50,86,2,614,29
186.83,243,4,1,2,638,87,2,289,19
529.14,178,17,2,2,40,91,1,241,29
145.56,62,190,1,2,427,99,1,548,29
219.35,174,44,1,2,872,99,2,535,29
468.28,194,14,5,2,268,18,2,436,29
385.81,232,16,3,2,685,86,1,136,29
1559.16,207,25,2,2,875,56,1,79,29
312.23,234,26,5,1,871,91,1,16,16
1336.81,165,48,3,2,78,95,1,110,5
299.6,195,26,3,2,761,95,1,393,29
4863.98,180,36,14,2,541,92,1,544,29
165.5,249,3,1,2,638,74,2,289,19
749.74,228,7,3,2,815,86,2,79,29
381.66,83,180,3,6,71,56,1,274,19
490.7,211,15,3,1,93,18,1,234,29
108.42,215,27,2,2,458,40,2,51,29
255.6,206,3,2,2,513,80,2,359,29
313.22,141,89,3,2,243,16,1,273,29
300.56,229,30,1,2,399,92,1,359,29
273.65,58,156,1,2,839,18,1,364,29
227.74,264,5,3,2,781,49,2,42,29
203.44,190,27,1,2,872,86,2,535,19
619.21,93,103,3,2,321,18,2,58,4
40.13,193,1,1,2,412,56,2,336,29
67.77,194,1,1,2,323,99,2,454,29
452.98,169,26,2,2,734,99,2,359,5
44.61,261,1,1,2,460,37,2,582,29
203.25,228,1,1,4,70,44,2,141,29
267.76,243,25,2,2,572,91,2,273,29
111.2,108,95,2,2,678,25,2,24,29
188.24,236,27,2,2,340,74,1,73,19
302.44,236,11,4,2,741,91,1,168,19
143.28,243,1,1,2,784,70,2,544,19
465.54,72,139,2,3,578,91,2,10,29
404.67,181,54,3,2,638,86,2,289,19
211.42,139,47,1,4,449,70,2,544,19
114.16,140,81,1,2,772,82,2,548,29
87.35,258,8,2,2,339,74,2,212,19
186.31,212,26,1,1,592,86,1,482,16
202.93,28,173,1,6,852,37,2,378,29
193.69,206,11,2,2,464,92,2,548,29
175.85,218,2,1,2,815,37,2,79,5
939.6,65,165,5,1,350,82,2,427,5
138.15,206,1,1,1,447,44,2,96,29
289.0,208,8,1,2,825,99,2,492,29
54.32,255,1,1,2,530,99,2,202,29
181.77,62,167,1,2,432,40,2,119,29
34.41,189,35,1,2,251,82,1,525,29
74.37,265,7,1,2,736,3,2,412,5
110.02,214,11,1,2,188,92,1,319,5
91.36,253,9,2,2,12,56,2,267,29
86.25,259,2,1,3,458,56,2,51,29
190.15,175,11,2,2,490,82,2,617,29
65.5,193,8,1,2,881,86,2,548,19
103.01,248,4,1,1,322,91,2,492,19
263.14,216,10,2,2,328,95,2,123,22
467.1,112,122,2,3,592,37,1,482,29
449.62,190,14,6,2,585,72,2,18,29
17.15,221,17,1,1,58,67,1,157,29
323.34,102,125,3,2,741,86,2,168,19
288.18,207,25,3,2,884,81,1,2,19
165.57,94,102,1,6,678,28,2,24,29
395.25,163,48,2,1,430,86,1,575,29
329.7,189,7,2,2,872,37,2,535,27
81.01,208,2,1,2,583,99,2,445,19
183.68,235,32,1,4,407,95,2,176,29
29.11,217,2,1,2,792,82,2,120,19
1165.55,224,36,5,2,772,98,2,548,29
190.31,231,38,2,3,462,91,1,543,29
186.94,186,79,1,2,872,86,2,535,29
43.02,192,6,1,2,490,40,2,617,29
41.35,263,3,2,2,502,74,2,518,19
398.04,247,23,2,2,642,91,2,377,19
689.28,220,48,6,4,266,3,1,618,29
70.19,226,4,1,2,681,56,2,118,29
335.16,125,115,3,2,437,102,2,570,29
112.92,186,2,1,2,50,89,2,614,29
91.8,246,1,1,2,754,88,2,298,29
209.66,163,26,3,2,770,95,2,205,29
224.08,150,97,1,2,40,82,1,241,29
102.61,184,4,2,2,126,40,2,443,19
81.21,210,1,1,2,392,86,2,94,26
328.2,197,7,3,2,871,86,2,16,29
600.84,148,46,2,2,815,86,1,79,19
1791.44,196,36,2,4,522,99,2,169,29
179.52,220,25,3,2,243,82,2,273,29
77.64,240,9,1,1,464,82,2,548,29
73.13,270,3,1,1,427,95,2,548,29
489.84,129,94,2,2,78,86,1,110,29
119.5,199,1,1,2,337,102,2,2,19
30.6,210,4,1,2,792,82,2,120,19
267.86,210,30,2,2,772,37,2,548,29
212.91,228,28,3,1,697,86,2,27,19
66.91,230,4,1,2,572,40,2,273,29
368.11,141,53,3,2,78,86,2,110,27
163.59,186,27,1,2,875,37,1,79,19
131.39,242,25,1,2,7,42,2,511,29
88.71,255,12,1,1,872,44,2,535,16
444.14,228,5,5,2,610,102,2,231,29
475.89,174,29,3,2,437,86,2,570,19
39.24,189,6,1,1,709,92,1,87,29
58.45,225,2,1,2,204,3,2,17,29
79.81,176,11,1,2,590,18,2,330,30
548.34,106,86,3,2,387,82,2,334,29
435.27,201,9,3,2,728,102,2,76,29
290.7,266,3,3,2,323,35,2,454,29
159.33,164,54,3,2,433,18,2,397,26
168.36,104,98,2,2,851,86,2,463,29
229.56,233,34,3,2,888,87,2,312,19
193.1,230,8,1,4,776,91,2,359,16
42.93,200,1,1,2,312,92,2,267,19
111.59,58,130,1,2,78,18,2,110,4
59.42,237,5,1,3,572,56,2,273,29
90.64,233,11,1,1,387,102,2,334,29
79.43,237,32,1,2,182,95,2,353,4
87.38,217,11,1,2,706,91,2,531,19
233.26,184,25,1,6,427,102,2,548,19
342.24,238,23,2,2,818,37,1,597,29
546.65,189,66,4,2,147,54,1,13,19
91.06,156,46,1,2,124,91,1,182,19
449.12,114,118,2,2,578,86,2,10,29
93.85,145,75,1,1,508,44,2,69,29
145.0,199,60,1,2,759,44,2,359,19
233.5,133,77,2,2,753,18,2,273,29
86.52,216,2,1,1,447,44,2,96,19
389.4,179,7,2,1,859,82,2,548,29
1604.19,259,11,8,2,516,18,2,122,29
73.79,263,9,1,1,427,92,2,548,29
54.67,187,22,1,2,310,86,1,106,29
364.35,166,53,3,2,94,86,2,466,19
125.38,221,8,1,3,270,44,2,334,16
164.05,188,1,1,2,114,54,2,407,29
559.0,176,18,4,2,296,86,2,53,19
209.79,238,7,1,2,751,99,2,492,29
647.13,27,210,3,2,289,43,2,501,22
111.06,208,1,1,4,412,82,2,336,29
331.8,210,9,6,2,363,99,2,54,29
956.08,130,136,4,2,889,44,2,51,29
171.31,205,17,2,2,490,56,1,617,29
244.18,184,9,3,2,443,95,2,92,30
113.57,254,6,1,2,188,44,2,319,29
26.41,225,3,1,2,164,40,2,274,29
176.34,356,212,1,2,438,91,2,334,19
152.9,236,36,2,1,307,99,1,11,29
126.22,189,7,2,2,666,95,1,454,19
85.24,272,1,1,1,193,92,2,544,29
94.74,184,5,2,1,266,74,2,618,29
151.46,216,1,1,2,860,37,2,77,29
19.88,255,1,1,2,388,40,2,538,26
1038.38,173,97,5,3,741,54,2,168,29
244.34,196,34,2,2,206,86,1,605,19
99.59,198,44,1,2,776,56,2,359,19
974.71,183,7,6,2,638,82,2,289,19
60.06,192,52,1,2,51,18,1,200,16
84.18,49,220,1,2,51,37,1,200,29
164.53,177,12,1,2,541,82,2,544,29
117.06,165,22,2,2,546,91,1,345,29
112.61,168,64,2,2,871,18,2,16,4
1051.7,199,34,4,4,764,18,2,51,29
66.94,234,1,1,2,854,86,2,357,29
230.85,237,2,2,2,152,99,2,614,19
48.3,197,5,1,1,741,44,1,168,29
